City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Dunedin,NZ,2022-04-27 01:39:21,-45.8742,170.5036,54.81,82,80,5.01
68,Nenjiang,CN,2022-04-27 01:43:47,49.1833,125.2167,45.39,37,2,13.13
69,Te Anau,NZ,2022-04-27 01:43:47,-45.4167,167.7167,56.61,65,55,1.23
70,Aasiaat,GL,2022-04-27 01:43:47,68.7098,-52.8699,30.4,92,100,3.83
71,Longyearbyen,SJ,2022-04-27 01:41:42,78.2186,15.6401,1.24,66,40,10.36
72,Isangel,VU,2022-04-27 01:43:49,-19.55,169.2667,79.41,57,100,16.11
73,Nshamba,TZ,2022-04-27 01:43:49,-1.7983,31.5511,60.22,92,100,1.86
74,Leningradskiy,RU,2022-04-27 01:43:50,69.3833,178.4167,21.15,86,77,13.09
75,Lompoc,US,2022-04-27 01:43:50,34.6391,-120.4579,59.85,75,0,21.99
76,Nadvoitsy,RU,2022-04-27 01:43:51,63.8667,34.3167,20.35,87,5,5.01
77,Dzilam Gonzalez,MX,2022-04-27 01:43:51,21.2833,-88.9333,77.56,74,60,8.23
78,Darab,IR,2022-04-27 01:43:51,28.7519,54.5444,66.58,46,36,1.92
79,Bredasdorp,ZA,2022-04-27 01:43:52,-34.5322,20.0403,52.79,84,0,3.4
80,Kabanjahe,ID,2022-04-27 01:42:37,3.1001,98.4908,73.53,74,100,1.45
81,Petropavlovsk-Kamchatskiy,RU,2022-04-27 01:43:53,53.0452,158.6483,46.99,34,0,6.71
82,Bethanien,NA,2022-04-27 01:43:53,-26.502,17.1583,59.59,35,0,4.92
83,Port-Gentil,GA,2022-04-27 01:43:54,-0.7193,8.7815,80.1,85,100,13.27
84,Nikolskoye,RU,2022-04-27 01:43:55,59.7035,30.7861,34.88,94,67,4.52
85,Iqaluit,CA,2022-04-27 01:43:55,63.7506,-68.5145,1.13,60,20,5.75
86,Vostok,RU,2022-04-27 01:43:56,46.4856,135.8833,30.43,98,100,16.42
87,Panipat,IN,2022-04-27 01:44:56,29.3889,76.9681,87.93,12,0,3.6
88,Zalantun,CN,2022-04-27 01:44:57,48.0,122.7167,48.29,28,8,10.76
89,Cape Town,ZA,2022-04-27 01:43:46,-33.9258,18.4232,59.92,73,0,13.8
90,Komsomolskiy,UZ,2022-04-27 01:44:58,40.4272,71.7189,63.32,77,75,4.61
91,Bomet,KE,2022-04-27 01:44:58,-0.7813,35.3416,54.54,97,100,3.29
92,Rantoul,US,2022-04-27 01:44:58,40.3084,-88.1559,48.72,58,0,6.91
93,Pevek,RU,2022-04-27 01:44:59,69.7008,170.3133,34.92,67,100,22.93
94,Jamestown,US,2022-04-27 01:42:55,42.097,-79.2353,42.39,61,100,10.36
95,Kodiak,US,2022-04-27 01:45:00,57.79,-152.4072,53.11,47,75,12.66
96,Boden,SE,2022-04-27 01:45:00,65.8252,21.6886,24.8,90,5,2.26
97,Chuy,UY,2022-04-27 01:45:00,-33.6971,-53.4616,68.9,91,100,15.3
98,Vila Franca Do Campo,PT,2022-04-27 01:45:01,37.7167,-25.4333,65.19,92,23,10.87
99,Cidreira,BR,2022-04-27 01:45:01,-30.1811,-50.2056,71.38,91,38,15.08
100,Meiganga,CM,2022-04-27 01:45:02,6.5167,14.3,65.75,95,94,2.57
101,Balakhta,RU,2022-04-27 01:45:02,55.38,91.6,45.59,52,85,6.78
102,Puerto Ayora,EC,2022-04-27 01:45:02,-0.7393,-90.3518,72.5,86,16,4.92
103,Fergus Falls,US,2022-04-27 01:44:16,46.283,-96.0776,35.17,60,0,3.44
104,Caravelas,BR,2022-04-27 01:44:22,-17.7125,-39.2481,74.71,83,0,5.19
105,Wanaka,NZ,2022-04-27 01:45:03,-44.7,169.15,59.11,64,14,1.01
106,Omaruru,NA,2022-04-27 01:45:04,-21.4333,15.9333,68.0,36,47,4.25
107,Bilma,NE,2022-04-27 01:45:04,18.6853,12.9164,84.27,10,0,10.33
108,Ceres,US,2022-04-27 01:45:05,37.5949,-120.9577,72.01,37,0,11.5
109,Faanui,PF,2022-04-27 01:45:05,-16.4833,-151.75,81.64,75,62,20.2
110,Kruisfontein,ZA,2022-04-27 01:45:06,-34.0033,24.7314,49.89,79,5,4.61
111,Cozumel,MX,2022-04-27 01:45:06,20.5083,-86.9458,77.95,88,6,5.01
112,Namwala,ZM,2022-04-27 01:45:07,-15.7504,26.4384,62.06,94,47,4.68
113,Carnarvon,AU,2022-04-27 01:44:05,-24.8667,113.6333,73.47,56,40,17.27
114,Provideniya,RU,2022-04-27 01:45:07,64.3833,-173.3,28.51,80,75,11.18
115,Iguape,BR,2022-04-27 01:45:08,-24.7081,-47.5553,70.2,92,67,2.26
116,Vanavara,RU,2022-04-27 01:45:08,60.34,102.2797,35.65,66,15,9.75
117,Monte Gordo,PT,2022-04-27 01:45:09,37.1819,-7.4523,58.24,71,16,8.3
118,Tiksi,RU,2022-04-27 01:45:09,71.6872,128.8694,8.26,88,43,2.26
119,Hithadhoo,MV,2022-04-27 01:45:10,-0.6,73.0833,84.43,72,100,5.99
120,Airai,TL,2022-04-27 01:45:10,-8.9266,125.4092,73.24,56,98,2.06
121,Hasaki,JP,2022-04-27 01:45:11,35.7333,140.8333,75.29,85,100,19.93
122,Victoria,HK,2022-04-27 01:41:37,22.2855,114.1577,87.96,73,0,5.99
123,Tuktoyaktuk,CA,2022-04-27 01:45:11,69.4541,-133.0374,15.8,92,75,6.91
124,Price,US,2022-04-27 01:45:12,39.5994,-110.8107,67.26,10,0,8.05
125,Toora-Khem,RU,2022-04-27 01:45:12,52.4675,96.11,41.36,51,71,3.58
126,Ribeira Brava,PT,2022-04-27 01:45:13,32.65,-17.0667,60.71,66,0,1.7
127,Vestmannaeyjar,IS,2022-04-27 01:45:14,63.4427,-20.2734,45.86,79,99,3.8
128,Kapaa,US,2022-04-27 01:45:15,22.0752,-159.319,80.58,80,40,13.8
129,Ndungu,TZ,2022-04-27 01:45:16,-4.3667,38.05,69.64,93,100,3.02
130,Japura,ID,2022-04-27 01:45:16,-0.3167,102.35,83.8,81,93,0.63
131,Narsaq,GL,2022-04-27 01:45:17,60.9167,-46.05,39.42,91,100,3.36
132,Acapulco,MX,2022-04-27 01:42:29,16.8634,-99.8901,80.42,78,20,9.22
133,Upernavik,GL,2022-04-27 01:45:18,72.7868,-56.1549,25.7,76,100,4.47
134,Tres Lagoas,BR,2022-04-27 01:46:18,-20.7511,-51.6783,75.29,52,20,5.64
135,Amritsar,IN,2022-04-27 01:46:19,31.6331,74.8656,78.62,46,0,0.0
136,Poum,NC,2022-04-27 01:46:19,-20.2333,164.0167,78.94,65,85,21.63
137,Bengkulu,ID,2022-04-27 01:46:20,-3.8004,102.2655,82.72,74,37,3.89
138,Saint George,US,2022-04-27 01:44:03,37.1041,-113.5841,81.19,6,0,5.75
139,Boyuibe,BO,2022-04-27 01:46:21,-20.4167,-63.2833,72.81,78,100,13.2
140,Ramnagar,IN,2022-04-27 01:46:21,29.4,79.1167,84.18,17,0,3.69
141,Walvis Bay,NA,2022-04-27 01:46:21,-22.9575,14.5053,60.1,77,3,0.0
142,San Patricio,US,2022-04-27 01:46:22,28.017,-97.5169,74.53,82,16,7.36
143,Lac Du Bonnet,CA,2022-04-27 01:45:21,50.2536,-96.0612,24.06,95,9,3.15
144,Uusikaupunki,FI,2022-04-27 01:46:22,60.8004,21.4084,33.75,68,53,7.11
145,Castro,BR,2022-04-27 01:46:23,-24.7911,-50.0119,62.04,91,55,3.8
146,Port Elizabeth,ZA,2022-04-27 01:46:23,-33.918,25.5701,52.11,88,37,6.24
147,Kidal,ML,2022-04-27 01:46:24,18.4411,1.4078,77.36,24,0,10.38
148,Petauke,ZM,2022-04-27 01:46:24,-14.2426,31.3253,63.19,90,91,10.78
149,Thompson,CA,2022-04-27 01:45:22,55.7435,-97.8558,39.36,24,0,6.91
150,Yar-Sale,RU,2022-04-27 01:46:25,66.8333,70.8333,34.99,100,100,19.1
151,Astaneh-Ye Ashrafiyeh,IR,2022-04-27 01:46:25,37.2596,49.9444,57.13,84,12,1.77
152,Xuzhou,CN,2022-04-27 01:46:26,34.1805,117.1571,70.32,28,15,18.16
153,Daru,PG,2022-04-27 01:46:26,-9.0763,143.2092,85.8,67,99,4.92
154,Iskateley,RU,2022-04-27 01:46:26,67.6803,53.1512,24.21,77,100,20.13
155,Shelburne,CA,2022-04-27 01:46:27,44.0787,-80.2041,32.45,90,100,9.42
156,Bima,ID,2022-04-27 01:46:27,-8.4667,118.7167,85.17,60,100,3.67
157,Russell,US,2022-04-27 01:46:28,32.3502,-85.1999,65.48,88,20,6.91
158,Guasdualito,VE,2022-04-27 01:46:28,7.2424,-70.7324,78.76,89,40,4.61
159,Maraa,BR,2022-04-27 01:46:29,-1.8333,-65.3667,73.83,98,100,2.91
160,Bolshoy Kamen,RU,2022-04-27 01:46:29,43.1225,132.3583,55.29,31,0,15.41
161,Filingue,NE,2022-04-27 01:46:30,14.3521,3.3168,82.89,16,23,6.46
162,Coihaique,CL,2022-04-27 01:44:02,-45.5752,-72.0662,34.41,86,20,5.75
163,Yellowknife,CA,2022-04-27 01:46:30,62.456,-114.3525,46.92,46,40,2.3
164,Ituiutaba,BR,2022-04-27 01:46:31,-18.9689,-49.465,73.78,55,20,6.2
165,Coahuayana,MX,2022-04-27 01:46:31,18.7333,-103.6833,73.18,77,3,1.72
166,Avarua,CK,2022-04-27 01:46:31,-21.2078,-159.775,84.25,74,20,9.22
